url,sku,name,price,description
https://jpeterman.com/collections/all/products/v-neck-soho-tee,6525,V-Neck SoHo Tee,"$29.00
Unavailable","<p>The Soho Tee.</p>
<p>Owning T-shirts is like eating jellybeans.</p>
<p>My point in comparing jellybeans and T-shirts?</p>
<p>You can’t stop at one color when you find something you like. Which I did when I spotted her, a few blocks away, at Mercer and Prince Street in a perfect V-neck tee.</p>
<p>As did everyone else.</p>
<p>(The people snapping pictures of her soon informed me, she is the darling of the indie film scene.)</p>
<p>V-Neck SoHo Tee (No. 6525). Recreated in 100% Pima cotton slub. Self-fabric neck trim. Casual to dressy with everything. Unlike jellybeans, these have no calories. Imported.</p>"
https://jpeterman.com/collections/all/products/gurkha-pants,J6582,The Original Gurkha Pants,"$89.00
Unavailable","<div class=""metafield-rich_text_field""><p>Pants of Glory</p><p>Of all the statues along Whitehall in London (technically, the heart of the British Empire), my favorite is the sturdy Gurkha Soldier.</p><p>He stands on permanent guard outside the Ministry of Defense, rifle in hand, hat at a jaunty angle. “Bravest of the brave,” reads the memorial inscription, and it’s true; Gurkha regiments in service to Britain have won a remarkable 26 Victoria Crosses for courage under fire.</p><p>I can’t promise that stepping into his pants will make a person more intrepid, but the way they look is a nudge in the right direction.</p></div>"
https://jpeterman.com/collections/all/products/baseball-glove-wallet-tan,J1004,Baseball Glove Wallet,"$68.00
Unavailable","<div class=""metafield-rich_text_field""><p>The Right Stuff.</p><p>Stop and think about that wonderful dark pocket of leather in the middle of a baseball glove.</p><p>This wallet is made out of that leather: baseball-glove leather. Center cut. Beautifully made to last and darken, and be with you for a long time.</p></div>"
https://jpeterman.com/collections/all/products/lightweight-denim-wide-legs-spring-2021,J2388,Lightweight Denim Wide Legs,"$98.00
Unavailable","<p data-mce-fragment=""1"">Zig When They Zag.</p>
<p data-mce-fragment=""1"">Women today are flocking to tight designer jeans, narrow at the bottom and low at the waist, hoping to accomplish what the gym couldn’t.</p>
<p data-mce-fragment=""1"">Well, their wallets are thinner.</p>
<p data-mce-fragment=""1"">You, on the other hand, have never been one to follow the crowd. So I’d like to suggest something different. A new take on the silhouette that made stars like Harlow lankier, leggier.</p>
<p data-mce-fragment=""1"">Yes, wide-legged pants in denim.</p>
<p data-mce-fragment=""1"">“Hmm, you look taller, somehow. New hairdresser?”</p>
<p data-mce-fragment=""1"">I spotted the original in Paris, where they know a few things about flattering the female form.</p>
<p data-mce-fragment=""1"">Lightweight Denim Wide Legs (No. 2388). In soft, weathered cotton. Clean Hollywood waistband with big well-spaced belt loops, an open, refreshing look. Trim on-seam pockets and front and back darts. Waist curves up in back to form V-shaped notch, for victory over the commonplace. 31"" inseam. Imported.</p>"
https://jpeterman.com/collections/all/products/boatneck-ballet-tee,J6524,Boatneck Ballet Tee,"$44.00
Unavailable","<div class=""metafield-rich_text_field""><p>Very Audrey.</p><p>I met my wife, Audrey, at Scotty’s outside Tappan. She always seemed to bring her dates there the nights I worked. Along with the Vermeer face and dancer’s legs, Audrey has a knack for wearing exactly the right things, from big floppy hats to ballet flats, and turning them into classics.</p></div>"
https://jpeterman.com/collections/all/products/glamour-pants,J1067,The Silk Twill Glamour Pant,"$178.00
Unavailable","<div class=""metafield-rich_text_field""><p>Glamour.</p><p>Men’s trousers from 1940, adapted to a woman’s body.<br>
</p><p>Fluid, sensual, elegant silk twill.<br>
</p><p>(It drapes beautifully, moves one millisecond later than you move, then continues moving one millisecond after you’ve stopped.)<br>
</p><p>As every man who isn’t dead yet has noticed, women who dress this way could never be confused with a man.<br>
</p><p>Yes, glamorous.&nbsp;</p></div>"
https://jpeterman.com/collections/all/products/officer-gentleman-field-shirt,J6635,Officer & Gentleman Field Shirt,"$59.00
Unavailable","<div class=""metafield-rich_text_field""><p>The Field Shirt.</p><p>&nbsp;</p><p>You’ve been searching for this shirt for about as long as I have.</p><p>You had one (so did I) years back, passed down from your dad or your grandfather, who left it up to you to wear it out completely.</p><p>A man can only mend a shirt so many times before surrendering. Time to reenter the fray.</p><p>Sturdy construction (it’s also exceptionally handsome, I’m told) for absolutely anything other than surrender.</p></div>"
https://jpeterman.com/collections/all/products/classic-twill-pants,J7287,Classic Twill Pants,"$59.00
Unavailable","<div class=""metafield-rich_text_field""><p>Non-Symbolic Twills.</p><p>People see deep meaning in women's pants, but with these you can breathe easy.</p><p>These, with their midrise and triple washed feel, started life about 50 years ago. An English lady living in Placentia slipped on a similar pair (her husband's old&nbsp;Sandhurst tans) to prune the rosebushes humming Elgar but enjoying her new California weather.</p><p>Next thing, her daughter is seen wearing them, then her granddaughter, who wears them with a blazer and sandals when she meets me.</p><p>These pants have moved through time very nicely in their unselfconscious way, so I haven't really made any changes except... better buttons, slant front pockets and a delicate but colorful twill detail inside the waistband.</p><p>&nbsp;</p></div>"
https://jpeterman.com/collections/all/products/marie-antoinette-nightshirt1,J1019,Marie Antoinette Nightshirt,"$98.00
Unavailable","<div class=""metafield-rich_text_field""><p>What Marie Antoinette Wore to Bed.</p><p>Marie-Antoinette is the one who said: “If they don’t have bread, let them eat cake.”<br>
</p><p>She herself had cake... but wanted bread.<br>
</p><p>People want what they haven’t got. Especially when they have Everything.<br>
</p><p>She had everything. Her father was Emperor. Her husband was King. She was Queen.<br>
</p><p>But Versailles suffocated her. She hated the acres of ormolu, miles of mirrors, armies of flatterers. She yearned for something else; she yearned for innocence.<br>
</p><p>She almost got it; built another world for herself. Off in the woods, far from Versailles, she created a tiny hamlet of farms, cowsheds, private apartments with thatched roofs, dairies, vegetable gardens, a ballroom in the form of a barn; a little gleaming river, even a secluded meadow.<br>
</p><p>Few were ever invited to see it.<br>
</p><p>But it was a sensation. Overnight, the aristocracy would have given anything for the privilege of... milking a cow. Or any other favors.&nbsp;This simple nightshirt epitomizes Marie-Antoinette’s dream of innocence.</p></div>"
https://jpeterman.com/collections/all/products/1903-aftershave-balm,J1402,1903 Aftershave Balm,"$49.00
Unavailable","<div class=""metafield-rich_text_field""><p>1903.</p><p>I was browsing in a Paris antique shop one winter afternoon when a fitted leather train case caught my eye.</p><p>It contained silver-handled brushes, boot hooks, a straight razor, several silver-stoppered glass bottles.</p><p>Inside a bottle, there was still the faint aroma of a gentleman's cologne. Custom-made for a rich traveler a century ago.</p><p>Curiosity was eating at me. I bought the case and sent the bottle to a laboratory for analysis. They broke down the residue by gas chromatography. Identified its fingerprint through spectrophotometry.</p><p>The report said: an ""old woody fougère."" Clean citrus notes, bergamot, ""green notes."" The middle notes: clary sage, cardamom. The dry-down: leather notes, smoky labdanum… elemi, tabac, frankincense.</p><p>The detective work was impressive. So is the thing itself. Women like the way it smells on a man. Like a symphony that begins loudly, then soon slides into subtle, entangling developments that grow on them.</p><p>Or so I've been told.</p></div>"
